contrast,model,prompt_type,dice_mean,dice_std,n_samples,iou_mean
t1c,medsam3,box,0.6135,0.2936,869,0.5002
t1c,medsam3,text,0.4228,0.3757,869,0.3468
t1c,sam3,box,0.6598,0.2903,869,0.5524
t1c,sam3,text,0.5786,0.3404,869,0.4808
t1n,medsam3,box,0.573,0.2719,869,0.4494
t1n,medsam3,text,0.3015,0.3278,869,0.2296
t1n,sam3,box,0.6056,0.2713,869,0.4841
t1n,sam3,text,0.4662,0.3342,869,0.3661
t2f,medsam3,box,0.6186,0.2667,869,0.4969
t2f,medsam3,text,0.4141,0.3319,869,0.3193
t2f,sam3,box,0.6812,0.2569,869,0.5652
t2f,sam3,text,0.5224,0.3412,869,0.4229
t2w,medsam3,box,0.5991,0.2739,869,0.4776
t2w,medsam3,text,0.38,0.3392,869,0.2947
t2w,sam3,box,0.6714,0.2675,869,0.5568
t2w,sam3,text,0.5609,0.3217,869,0.4542
